feature,mean_abs_shap
Short_Term_Holder_SOPR,1.0445528
Price_to_Realized,0.5824873
RSI_14,0.56391126
Dist_to_SMA200,0.5585106
Drawdown_from_ATH,0.5288177
logret_1d,0.35908088
Supply_in_Loss,0.35539055
Supply_in_Profit,0.25536406
Stoch_K_14_3,0.24996455
Supply_in_Loss_pct,0.24851388
Supply_in_Profit_pct,0.24297915
MVRV,0.19002357
BB_PercentB_20,0.18951732
UTXOs_in_Loss,0.18483926
Net_Realized_Profit_and_Loss__NRPL,0.15957843
Close,0.14362384
ROI30d,0.13938503
UTXOs_in_Loss_pct,0.13551383
UTXOs_in_Profit_pct,0.1188137
Spent_Output_Profit_Ratio__SOPR_Day__1,0.10287269
RealizedPrice,0.100488715
OBV,0.09961213
MVRV_z_365,0.08869063
Stoch_D_14_3,0.08600717
CapMVRVCur,0.083579466
Realized_Cap_UTXO_Age_Bands_pct,0.06899814
Low,0.066481404
Open,0.06159607
Volume,0.061555084
Sharpe_30d,0.05801277
Adjusted_SOPR__aSOPR,0.043910865
High,0.040268775
Net_Unrealized_Loss__NUL,0.034797307
